PROFILE_ID,REACHED_40_EVENTS,REACHED_80_EVENTS,EVENT_CYCLES_F40,DISTINCT_ARTICLES_F40,PERCENT_GOOGLE_ARTICLES_F40,PERCENT_ARTICLE_CONTENT_F40,AVERAGE_CONTENT_SCORE_F40,DAYS_TO_FORTY_EVENTS
2_v2goIBGoM3uBpFG540,1,0,4,7,0.000000,0.875000,77.98304843666035,41.0
6PDUnoIBGoM3uBpFKpgg,1,0,8,6,0.500000,1.000000,0.0,100.0
dltl_YMBGoM3uBpFym0p,1,0,2,11,0.000000,1.000000,0.0,0.0
HVtu_YMBGoM3uBpFZJfG,1,1,5,5,0.200000,1.000000,0.0,42.0
tVy41oMBu9aDgDX1qtbH,1,1,1,1,0.000000,1.000000,0.0,0.0
f1tU_YMBGoM3uBpFaxpD,1,0,6,10,0.200000,0.909091,0.0,149.0
0W2NkoIBGoM3uBpFW4yC,1,0,7,9,0.555556,0.900000,77.98304843666035,61.0
4rOV_YMB28LFeUkXQhbF,1,1,4,8,0.250000,0.888889,12.941283883954009,22.0
ESrpiIIBGoM3uBpFG7hN,1,0,1,1,0.000000,1.000000,0.0,2.0
KobRzoIBGoM3uBpFV7Au,1,0,6,5,0.000000,0.833333,0.0,54.0
PVB8poIBGoM3uBpFEIxy,1,1,2,4,0.000000,0.571429,83.67693767521378,8.0
WCyBb4IBGoM3uBpFzbr8,1,1,5,7,0.428571,1.000000,0.0,54.0
XK7a1IIB28LFeUkXj-Bt,1,1,5,7,1.000000,1.000000,0.0,75.0
SNyYxIQBRkWobPtw2U5t,1,0,1,2,0.000000,0.125000,15.401752203232945,4.0
IYXeeIIBGoM3uBpFX5SF,1,1,4,7,0.428571,0.875000,0.0,28.0
PiWeZoIB8Tq1gs32B1Ko,1,0,1,2,1.000000,1.000000,0.0,9.0
lvveyIMBGoM3uBpF3ZGs,1,0,4,2,0.000000,0.117647,87.4940650445201,35.0
DOPDPIMBGoM3uBpFDXxT,1,0,5,7,0.142857,1.000000,0.0,35.0
8O7bgIIBGoM3uBpFlHP3,1,0,7,6,0.000000,1.000000,0.0,114.0
HMbXqoMBGoM3uBpFcW2n,1,0,6,3,0.333333,0.250000,38.08443912366513,75.0
30k9j4IBGoM3uBpFesAT,1,1,7,7,0.142857,1.000000,0.0,84.0
713r1oMBu9aDgDX1rFNH,1,0,1,0,0.000000,0.000000,0.0,0.0
a2px-n8Boj1uvCUb8IK6,1,1,2,0,0.000000,0.000000,898.787086721453,57.0
ZmaOqIIBGoM3uBpFRQpK,1,0,9,8,0.000000,1.000000,0.0,126.0
Yoa_8IEBuqp2E9of2i05,1,0,2,6,0.333333,0.857143,467.89829061996204,16.0
Z7KO_YMB28LFeUkXCPWD,1,1,4,9,0.000000,0.900000,11.192461737473737,71.0
3itho4IBGoM3uBpFVfNy,1,1,1,1,0.000000,0.500000,0.0,9.0
ajD2b4IBGoM3uBpFJESc,1,0,7,7,0.714286,1.000000,0.0,108.0
asU_ZYMB28LFeUkXyZEa,1,0,2,4,0.000000,0.250000,117.69362453657331,29.0
E2HS1oMB28LFeUkXfxkk,1,0,1,1,0.000000,1.000000,0.0,0.0
gY_PNYAB-TISWGBh02YJ,1,1,1,0,0.000000,0.000000,659.9877834199063,0.0
jBGn3oEBuqp2E9ofTEoF,1,0,1,7,0.142857,0.875000,596.340958633285,13.0
71Tfc4IBGoM3uBpF0lek,1,1,8,3,0.333333,0.750000,0.48142784869870825,87.0
TvTVwoMBGoM3uBpFEZ1r,1,0,7,9,0.222222,1.000000,0.0,55.0
zyFSboIBGoM3uBpFFClg,1,1,2,7,0.000000,0.700000,195.4811782537275,21.0
8jS1Z4IB8Tq1gs322E6T,1,1,5,6,0.333333,1.000000,0.0,57.0
gVon_YMBGoM3uBpFwzas,1,0,6,4,0.500000,0.666667,0.42836380137547286,74.0
PpNjCYMB28LFeUkXFgwB,1,0,7,6,1.000000,1.000000,0.0,63.0
